"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"26-100","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Very easy","No","No","Maybe","Yes","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","Yes","No","Yes","False","Not applicable to me","Not applicable to me","36-45","M","United Kingdom","United Kingdom","Sometimes"
"6-25","No","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","Yes, always","No","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Never"
"6-25","No","No Entry","No","No","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Yes","Maybe","Maybe","Somewhat open","Maybe/Not sure","Yes","No","Maybe","No","No","True","Not applicable to me","Not applicable to me","36-45","M","United Kingdom","United Kingdom","Always"
"6-25","Yes","Yes","No","No","No","Neither easy nor difficult","Yes","Maybe","Maybe","No","No","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Sometimes","36-45","F","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","No","Yes","Yes","Somewhat easy","Yes","Yes","Maybe","Yes","No","Yes","I don't know","Maybe","Yes, I think it would","Maybe","Somewhat open","Yes, I experienced","No","No","No","Yes","No","True","Not applicable to me","Often","36-45","M","United Kingdom","United Kingdom","Sometimes"
"26-100","I don't know","No","No","No","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","Yes","Yes, I think it would","No, I don't think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","No","Yes","Yes","Very easy","No","No","Maybe","Yes","I don't know","No","Sometimes","No","Maybe","Maybe","Somewhat open","Yes, I observed","Maybe","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","F","United States of America","United States of America","Always"
"26-100","I don't know","No","No","No","I don't know","Very difficult","Yes","Yes","Yes","Maybe","No","No","I don't know","Maybe","Maybe","Yes, they do","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","F","United States of America","United States of America","Sometimes"
"26-100","Yes","I am not sure","Yes","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","No","Yes","No, I don't think it would","Maybe","Very open","Yes, I observed","Maybe","I don't know","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Never"
"100-500","Yes","Yes","No","I don't know","I don't know","Somewhat difficult","Yes","No","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Not open at all","No","No Entry","Yes","Yes","Yes","Yes","True","Never","Rarely","25-35","M","United States of America","United States of America","Sometimes"
"100-500","Yes","I am not sure","No","No","Yes","Very easy","No","No","Yes","Yes","Yes","No","Yes, always","No","No, it has not","No, they do not","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","F","United States of America","United States of America","Always"
"100-500","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","No","Maybe","Yes","No","I don't know","No","Maybe","Yes, I think they would","Not open at all","Yes, I experienced","Maybe","No","Maybe","Maybe","No","False","Not applicable to me","Sometimes","36-45","M","Canada","Canada","Sometimes"
"100-500","Yes","Yes","No","I don't know","Yes","Very easy","No","No","Yes","Yes","No","No","I don't know","No","No, it has not","No, they do not","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Always"
"100-500","I don't know","No","No","I don't know","I don't know","Neither easy nor difficult","Maybe","Maybe","Maybe","Maybe","I don't know","No","Sometimes","Maybe","Maybe","Maybe","Neutral","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","45<","M","United States of America","United States of America","Sometimes"
"26-100","Not eligible for coverage / N/A","No","No","No","I don't know","Very difficult","Maybe","No","Maybe","Maybe","No","No","No","No","Yes, it has","No, I don't think they would","Very open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","Canada","Canada","Always"
"500-1000","No","No","No","No","I don't know","I don't know","Maybe","No","Yes","Maybe","No","No","I don't know","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Never"
"100-500","I don't know","No","No","No","I don't know","I don't know","Yes","No","No","No","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"6-25","No","No Entry","No","No","I don't know","Very easy","No","No","Maybe","Yes","I don't know","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","Maybe","Yes","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","No","Yes","I don't know","I don't know","Somewhat easy","No","No","Maybe","Yes","I don't know","No","Yes, always","No","Maybe","Maybe","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Never"
"26-100","Yes","Yes","No","No","I don't know","Very easy","Maybe","Maybe","Maybe","No","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Neutral","No","No Entry","I don't know","Maybe","No","No","False","Not applicable to me","Not applicable to me",">25","M","Germany","Germany","Sometimes"
"1-5","Yes","Yes","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Yes, I observed","Maybe","Yes","Yes","No","Yes","True","Sometimes","Often","25-35","M","Canada","Canada","Sometimes"
"100-500","Yes","Yes","I don't know","Yes","Yes","Very easy","No","No","Maybe","Maybe","Yes","No","Not Applicable","Maybe","Maybe","No, I don't think they would","Very open","Maybe/Not sure","No","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Germany","Germany","Never"
"26-100","No","No","No","No","I don't know","Very difficult","Yes","Yes","No","No","No","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Yes","I don't know","Yes","Yes","Yes","True","Rarely","Often","25-35","M","Netherlands","Netherlands","Sometimes"
"100-500","I don't know","No","No","No","I don't know","Somewhat difficult","No","No","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","No","No","No","Maybe","No","True","Sometimes","Often","25-35","M","Germany","Germany","Never"
"500-1000","I don't know","No","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Maybe","I don't know","Yes","I don't know","No","Yes, I think it would","No, I don't think they would","Neutral","Yes, I observed","Yes","Yes","Yes","Maybe","No","True","Sometimes","Often","25-35","F","United Kingdom","United Kingdom","Never"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","Yes","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Maybe","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","O","United Kingdom","United Kingdom","Never"
"100-500","Not eligible for coverage / N/A","Yes","No","No","I don't know","Somewhat easy","Maybe","No","Maybe","Maybe","No","No","Not Applicable","Maybe","Yes, I think it would","Maybe","Very open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","O","Germany","Germany","Never"
"100-500","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Yes, always","No","No, I don't think it would","No, they do not","Very open","No","No Entry","No","Yes","Yes","Yes","True","Often","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","I am not sure","No","No","I don't know","Very easy","Maybe","No","No","Maybe","No","No","Not Applicable","No","Maybe","Maybe","Somewhat open","No","No Entry","I don't know","Yes","Maybe","No","False","Rarely","Often","25-35","M","United States of America","United States of America","Never"
