column_id,question
A,"Are you self-employed?"
B,"How many employees does your company or organization have?"
C,"Is your employer primarily a tech company/organization?"
D,"Is your primary role within your company related to tech/IT?"
E,"Does your employer provide mental health benefits as part of healthcare coverage?"
F,"Do you know the options for mental health care available under your employer-provided coverage?"
G,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?"
H,"Does your employer offer resources to learn more about mental health concerns and options for seeking help?"
I,"Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?"
J,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:"
K,"Do you think that discussing a mental health disorder with your employer would have negative consequences?"
L,"Do you think that discussing a physical health issue with your employer would have negative consequences?"
M,"Would you feel comfortable discussing a mental health disorder with your coworkers?"
N,"Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?"
O,"Do you feel that your employer takes mental health as seriously as physical health?"
P,"Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?"
Q,"Do you have medical coverage (private insurance or state-provided) which includes treatment of mental health issues?"
R,"Do you know local or online resources to seek help for a mental health disorder?"
S,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?"
T,"If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?"
U,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?"
V,"If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?"
W,"Do you believe your productivity is ever affected by a mental health issue?"
X,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?"
Y,"Do you have previous employers?"
Z,"Have your previous employers provided mental health benefits?"
AA,"Were you aware of the options for mental health care provided by your previous employers?"
BB,"Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?"
CC,"Did your previous employers provide resources to learn more about mental health issues and how to seek help?"
DD,"Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?"
EE,"Do you think that discussing a mental health disorder with previous employers would have negative consequences?"
FF,"Do you think that discussing a physical health issue with previous employers would have negative consequences?"
GG,"Would you have been willing to discuss a mental health issue with your previous co-workers?"
HH,"Would you have been willing to discuss a mental health issue with your direct supervisor(s)?"
II,"Did you feel that your previous employers took mental health as seriously as physical health?"
JJ,"Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?"
KK,"Would you be willing to bring up a physical health issue with a potential employer in an interview?"
LL,"Why or why not?"
MM,"Would you bring up a mental health issue with a potential employer in an interview?"
NN,"Why or why not?"
OO,"Do you feel that being identified as a person with a mental health issue would hurt your career?
PP,"Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?"
QQ,"How willing would you be to share with friends and family that you have a mental illness?"
RR,"Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?"
SS,"Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?"
TT,"Do you have a family history of mental illness?"
UU,"Have you had a mental health disorder in the past?"
VV,"Do you currently have a mental health disorder?"
WW,"If yes, what condition(s) have you been diagnosed with?"
XX,"If maybe, what condition(s) do you believe you have?"
YY,"Have you been diagnosed with a mental health condition by a medical professional?"
ZZ,"If so, what condition(s) were you diagnosed with?"
AAA,"Have you ever sought treatment for a mental health issue from a mental health professional?"
BBB,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?"
CCC,"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?"
DDD,"What is your age?"
EEE,"What is your gender?"
FFF,"What country do you live in?"
GGG,"What US state or territory do you live in?"
HHH,"What country do you work in?"
III,"What US state or territory do you work in?"
JJJ,"Which of the following best describes your work position?"
LLL,"Do you work remotely?"
