"B","TT","UU","VV","YY","AAA","DDD","EEE","HHH","LLL","Workplace_Culture","Employee_Comfort_w/_MH_@_Workplace","Employee_Comfort_w/_MH"
"26-100","No","Yes","No","Yes","False","36-45","M","United Kingdom","Sometimes","3","3","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Never","8","4","1"
"6-25","No","Maybe","No","No","True","36-45","M","United Kingdom","Always","2","0","2"
"6-25","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Sometimes","4","0","1"
"More than 1000","No","No","Yes","No","True","36-45","M","United Kingdom","Sometimes","5","1","1"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","3","3","1"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Always","6","2","1"
"26-100","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Sometimes","2","1","1"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","M","United States of America","Never","6","3","2"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","4","0","0"
"100-500","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Always","6","5","1"
"100-500","No","Maybe","Maybe","No","False","36-45","M","Canada","Sometimes","7","1","0"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Always","6","5","1"
"100-500","Yes","Yes","Yes","Yes","True",">45","M","United States of America","Sometimes","3","0","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","Canada","Always","1","1","1"
"500-1000","No","No","No","No","False","25-35","M","United Kingdom","Never","1","1","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","2","0","0"
"6-25","Yes","Maybe","No","No","False","25-35","M","United States of America","Sometimes","3","2","0"
"More than 1000","No","No","No","No","False","25-35","M","United States of America","Never","6","2","0"
"26-100","I don't know","Maybe","No","No","False","<25","M","Germany","Sometimes","5","1","0"
"1-5","Yes","Yes","No","Yes","True","25-35","M","Canada","Sometimes","3","0","1"
"100-500","No","No","No","No","False","36-45","M","Germany","Never","7","2","1"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","M","Netherlands","Sometimes","1","0","1"
"100-500","No","No","Maybe","No","True","25-35","M","Germany","Never","2","1","0"
"500-1000","Yes","Yes","Maybe","No","True","25-35","F","United Kingdom","Never","3","1","0"
"6-25","Yes","Yes","Yes","Yes","True","25-35","O","United Kingdom","Never","3","3","0"
"100-500","Yes","Yes","Yes","Yes","True","25-35","O","Germany","Never","4","0","1"
"100-500","No","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","8","5","1"
"More than 1000","I don't know","Yes","Maybe","No","False","25-35","M","United States of America","Never","3","0","1"
"26-100","No","Yes","Yes","No","False","36-45","M","United Kingdom","Sometimes","5","4","1"
"100-500","No","No","No","No","False","25-35","M","Germany","Never","3","0","1"
"26-100","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Always","6","2","2"
"100-500","No","No","Maybe","No","False","25-35","M","United Kingdom","Never","3","3","1"
"100-500","Yes","Yes","Maybe","Yes","True","25-35","M","United Kingdom","Sometimes","4","3","1"
"More than 1000","I don't know","No","No","No","False","36-45","M","Canada","Always","4","2","2"
"100-500","I don't know","Yes","Yes","No","True","36-45","M","United States of America","Always","6","4","1"
"More than 1000","Yes","Yes","Yes","No","True",">45","F","Netherlands","Never","4","2","1"
"More than 1000","No","No","No","No","False","36-45","M","United States of America","Never","2","0","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","5","0","1"
"6-25","I don't know","Maybe","Maybe","No","False","36-45","M","United States of America","Sometimes","2","0","0"
"6-25","No","Maybe","Yes","Yes","True","36-45","F","United States of America","Always","7","2","1"
"26-100","I don't know","Yes","Yes","Yes","True","36-45","M","Australia","Never","3","0","0"
"6-25","Yes","No","No","No","False","25-35","M","United States of America","Sometimes","7","2","2"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","5","2","0"
"500-1000","No","Maybe","Maybe","Yes","True","25-35","M","United States of America","Always","4","0","0"
"More than 1000","No","No","No","No","False","25-35","F","United States of America","Sometimes","5","3","0"
"26-100","Yes","Maybe","Maybe","Yes","True","25-35","M","United States of America","Never","6","4","1"
"100-500","Yes","Maybe","Maybe","No","False","25-35","M","Canada","Never","5","1","0"
"6-25","I don't know","Maybe","Maybe","No","False","36-45","F","United States of America","Sometimes","3","2","0"
"100-500","I don't know","No","No","No","False","36-45","M","United States of America","Sometimes","3","1","0"
"More than 1000","I don't know","No","Maybe","No","False","36-45","M","France","Sometimes","5","2","1"
"26-100","No","Yes","Maybe","Yes","True","25-35","M","United Kingdom","Never","1","0","1"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","4","4","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Never","1","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Always","5","0","1"
"100-500","Yes","Maybe","No","No","False","25-35","M","United States of America","Never","4","0","1"
"26-100","I don't know","Yes","Maybe","Yes","True","25-35","M","Netherlands","Sometimes","5","2","1"
"100-500","No","No","No","No","False","25-35","M","Belgium","Sometimes","4","1","1"
"6-25","Yes","No","No","No","False",">45","M","United States of America","Sometimes","2","0","0"
"1-5","No","Yes","No","Yes","True","36-45","M","Netherlands","Sometimes","3","4","2"
"26-100","Yes","Maybe","Maybe","No","False","36-45","M","United States of America","Always","6","3","1"
"26-100","Yes","No","No","No","False","36-45","M","Netherlands","Sometimes","3","3","1"
"6-25","No","No","No","No","False","36-45","F","Netherlands","Never","3","3","1"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","2","0","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Always","8","3","1"
"1-5","No","No","No","No","False","<25","M","United Kingdom","Never","5","2","1"
"1-5","Yes","Yes","Yes","No","False","36-45","M","Brazil","Never","0","0","0"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","4","4","1"
"6-25","No","Maybe","Maybe","No","False","36-45","M","United States of America","Never","3","0","1"
"26-100","No","Maybe","Maybe","No","False","36-45","M","Canada","Never","2","0","1"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","M","United Kingdom","Sometimes","2","0","0"
"26-100","Yes","Yes","Yes","Yes","True","<25","F","United States of America","Sometimes","6","3","1"
"100-500","I don't know","Yes","No","Yes","True","25-35","M","Brazil","Never","1","0","1"
"More than 1000","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Sometimes","6","0","0"
"6-25","No","No","Yes","No","False","25-35","M","United Kingdom","Sometimes","4","2","1"
"6-25","No","No","No","No","False","<25","M","Brazil","Always","0","1","1"
"6-25","No","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","3","2","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","4","2","1"
"26-100","No","No","No","No","False","36-45","F","United States of America","Always","2","1","0"
"26-100","I don't know","No","No","No","False",">45","M","United States of America","Sometimes","4","2","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","4","1","1"
"500-1000","No","No","No","No","False","36-45","M","United States of America","Sometimes","3","0","0"
"100-500","I don't know","Yes","Yes","Yes","True","<25","M","United States of America","Sometimes","2","1","1"
"6-25","Yes","No","No","No","False","25-35","M","United States of America","Sometimes","3","3","2"
"26-100","Yes","Maybe","No","No","False","25-35","F","United States of America","Sometimes","4","0","1"
"26-100","I don't know","Maybe","Maybe","No","False","25-35","M","Netherlands","Never","0","0","1"
"26-100","Yes","Yes","Maybe","No","True","36-45","F","United States of America","Never","4","0","1"
"More than 1000","Yes","No","Yes","Yes","True","25-35","F","United States of America","Always","7","0","1"
"6-25","No","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","6","3","0"
"100-500","No","No","Maybe","No","False","25-35","M","United States of America","Sometimes","2","3","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Always","8","4","1"
"More than 1000","Yes","Maybe","Maybe","No","False","25-35","M","United States of America","Sometimes","3","0","1"
"26-100","No","No","No","No","False",">45","M","United States of America","Sometimes","6","1","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","2","3","1"
"26-100","Yes","Yes","No","Yes","True","36-45","F","United States of America","Sometimes","8","4","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Sometimes","3","1","1"
"6-25","Yes","Yes","Maybe","Yes","True","36-45","M","United States of America","Sometimes","3","0","0"
"500-1000","Yes","No","Maybe","No","False","25-35","M","United Kingdom","Sometimes","3","4","2"
"26-100","I don't know","No","No","No","False","<25","F","United States of America","Sometimes","6","3","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","Germany","Sometimes","2","1","1"
"1-5","I don't know","Maybe","Maybe","No","True","36-45","F","United States of America","Sometimes","3","1","1"
"100-500","No","No","No","No","False","25-35","M","France","Sometimes","3","3","1"
"26-100","No","No","No","No","False","36-45","F","United States of America","Sometimes","4","0","0"
"More than 1000","I don't know","Yes","Maybe","Yes","True","36-45","M","United States of America","Sometimes","2","0","1"
"6-25","I don't know","Yes","Maybe","Yes","True","36-45","M","United States of America","Sometimes","3","0","0"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","2","1","1"
"More than 1000","I don't know","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","4","1","0"
"More than 1000","Yes","No","No","No","False","36-45","M","United States of America","Sometimes","4","4","1"
"More than 1000","No","No","No","No","False","36-45","M","United States of America","Sometimes","4","0","0"
"26-100","No","No","Maybe","Yes","True","25-35","M","United States of America","Sometimes","3","1","0"
"26-100","No","No","No","No","False","25-35","M","United States of America","Always","3","4","1"
"100-500","I don't know","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","3","0","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","8","4","1"
"1-5","Yes","Yes","Yes","Yes","True","36-45","F","Canada","Always","2","0","1"
"26-100","I don't know","No","No","No","False","25-35","F","United States of America","Sometimes","1","0","1"
"500-1000","Yes","Maybe","Maybe","Yes","True","36-45","F","United States of America","Always","2","1","1"
"26-100","Yes","Yes","Yes","Yes","True","<25","M","United Kingdom","Never","2","0","0"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","4","1","1"
"26-100","No","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","1","1","1"
"6-25","No","No","No","No","True","36-45","M","United States of America","Sometimes","4","3","1"
"6-25","Yes","Yes","No","Yes","False","25-35","F","Canada","Sometimes","2","4","1"
"More than 1000","No","No","No","No","False","36-45","M","United States of America","Sometimes","0","0","1"
"More than 1000","No","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","8","4","2"
"100-500","Yes","Maybe","Maybe","No","True","36-45","M","United States of America","Always","3","0","1"
"26-100","I don't know","Maybe","No","No","False","25-35","M","United States of America","Always","4","4","1"
"100-500","No","No","No","No","False","36-45","M","United States of America","Never","4","3","0"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","2","1","0"
"More than 1000","No","No","No","No","False","36-45","M","Canada","Always","1","0","0"
"500-1000","No","Maybe","No","No","False","<25","M","United States of America","Sometimes","6","0","0"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","6","2","1"
"More than 1000","No","Yes","Yes","Yes","True","36-45","F","United States of America","Never","3","0","1"
"100-500","No","Yes","Yes","No","False","36-45","F","United States of America","Sometimes","5","0","1"
